Programme_ID,Programme_Name,Programme_Short_Description,Programme_Location,Programme_Access,Programme_Detailed_Description,Image,Page URL,Narratives_Programme_Is_Part_Of,Discipline_Programme_Is_Part_Of
227,Harmony of meetings / De Ontmoeting,Is an up-cycled interactive art installation specially designed to stimulate social interaction and encounters between people.,"Station area, Design Perron, Fuutlaan 12",Free,"Harmony of Meetings embodies the vibrancy and vitality of human interaction, social connections and stimulates encounters between people. In addition,the artwork emphasizes the importance of sustainability and the re-use which contributes to an environmentally conscious approach to art and design",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/harmony-of-meetings-1-3_1693529495_1800x1010.JPG,https://ddw.nl/en/programme/10550/harmony-of-meetings-de-ontmoeting,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Art Design
228,Heat Scarf,,"Station area, Design Perron, Fuutlaan 12",Free,"A Heat Scarf is a hot water bottle designed to be worn around the neck and waist. With its zigzag design, the Heat Scarf stays flexible when filled with water, ensuring an ergonomic fit to the body. The cover protects users from burns and offers a high level of wearing comfort with a soft feel.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/heat-scarf-seun-hwang-highres-6_1694937894_1800x1010.jpg,https://ddw.nl/en/programme/11075/heat-scarf,,
229,Heel de Wereldboom,The World Tree in Greendomain Wasven as a symbol of community building.,"Other area, Wasvenboerderij, Celebeslaan 30",Free,Our World Tree has been burned. Het Wasven tries to preserve the monumental tree for future generations. The rescue is formed by a plaited tribe and bypass in the crown. The activities can be followed during DDW. Visitors can participate by making their own work from the prunings.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/wereldboom-kroon-px-br_1695395648_1800x1010.jpg,https://ddw.nl/en/programme/10645/heel-de-wereldboom,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
230,Helios,"“Helios”

a tribute to the eternal circle of light.","Station area, Stationshal - Zuidhal - Eindhoven Centraal Station, Stationsplein 22",Free,"Helios, an electric lamp, draws inspiration from ancient myths.

Crafted with a solid aluminum base and a hand-casted acrylic sphere, it encourages users to
adjust light intensity. Each hand-crafted casting results in shapes and patterns as unique and

unpredictable as the celestial realm.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/helios6_1694788464_1800x1010.jpg,https://ddw.nl/en/programme/10579/helios,,
231,HENK,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-lisa-konno-henk-dda23-fashion-filmstill_1689584680_1800x1010.jpg,https://ddw.nl/en/programme/10489/henk,,
232,Het Kamertje,Een interactieve performance over regels en macht,"Strijp-S area, MU container, leidingstraat",,Het Kamertje is an interactive performance that takes place in (semi-) public space developed to make people reflect on the extent to which we reproduce existing power structures with our (unconscious) behaviour.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/dscf2360-02_1693563490_1800x1010.jpg,https://ddw.nl/en/programme/10172/het-kamertje,"[""WORKSHOP"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
233,Het Project,transparent wood with help of innobative chemical process and old Japaneese craftmanship,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"THE PROJECT is a material development project with a social design approach and the main goal of this
project is to change the physical characteristics of wood. the main goal is to give transparency to wood with help of innovative chemical process and old Japaneese craftmanship.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/whatsapp-image-2023-08-04-at-214155-2_1693499739_1800x1010.jpg,https://ddw.nl/en/programme/10377/het-project,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""PRODUCT & CRAFT DESIGN""]",Social Design
234,HIGHLIGHT OLEGI,,"Station area, Stationshal - Zuidhal - Eindhoven Centraal Station, Stationsplein 22",Free,"OLEGI is the next chapter in the HIGHLIGHT series: sculptural objects made of handwoven, textural textiles that play with colour, light and perspective. This imperfect material tells the story of a curiosity driven making process and an ever evolving interaction between maker and technique.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/olegi-i-brown-pink-studio-nicky-vollebregt_1693424241_1800x1010.jpg,https://ddw.nl/en/programme/10584/highlight-olegi,,
235,House of Dreams,Take a nap and disconnect,"Centre area, Kazerne – Home of Design, Paradijslaan 2-8",Free with DDW Ticket or Entrance Fee,"With House of Dreams we explore the bedroom of the future. We offer a bedstead made of only responsible and locally harvested materials, a safe place to close your eyes, take a nap, refresh your mind and dream a dream that stays your own.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/foto-huisje-website_1693829937_1800x1010.png,https://ddw.nl/en/programme/10050/house-of-dreams,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""SPECULATIVE & SOCIAL DESIGN""]",Design Research
236,How to hope to be,An exploration in biobased building together with the community,"Strijp T+R area, BioArt Laboratories, Oirschotsedijk 14-10",Free,Designer Catinca Tilea is exploring what it would be like if everybody could build with organic waste. Visitors of BioArt Laboratories are invited to grow a bio-brick. This social project explores how biotech could be used by communities to help rethink our relationship with the natural world.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/how-biobrick-web_1693216003_1800x1010.jpg,https://ddw.nl/en/programme/10082/how-to-hope-to-be,"[""WORKSHOP"", ""OUR THRIVING PLANET"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
237,Hybrid forms of dressing,Rethinking the relationship between textile and fashion design,"Station area, Design Perron, Fuutlaan 12",Free,"2D jacquard woven textiles that hold the possibility to be worn as 3D garments through whole-garment weaving. Besides the silhouette and pattern, also details such as pockets, sleeves and labels are woven directly into the textile. Using local materials such as deadstock wool and linen.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/kelly-konings-ddw_1692873092_1800x1010.jpg,https://ddw.nl/en/programme/10676/hybrid-forms-of-dressing,,
238,Icons Re/Outfitted,"The Visionary Lab teams up with Vitra and Levi’s®: designers upcycle iconic chairs with discarded denim, inviting you to take a seat and rethink waste","Station area, Fuutlaan 12c, Fuutlaan 12c",Free,"In an era with growing mountains of textile waste, we embark on an exploration of innovative solutions to repurpose discarded denim. 'Icons Re/Outfitted' is a transformative journey, breathing new life into iconic chairs from Vitra (e.g Eames, Panton and Nelson) with repurposed denim from Levi’s®.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-the-visionary-lab_1693828755_1800x1010.jpg,https://ddw.nl/en/programme/9884/icons-reoutfitted,"[""EXHIBITIONS"", ""OUR THRIVING PLANET""]",Interior Design
239,IKONIC - Playful design,"Minimalist, playful and colorful objects by Floris Hovers","Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"IKONIC presents new objects by Floris Hovers, focusing on wonder, simplicity and color.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ikonic-floris-hovers-ddw-2023_1692193299_1800x1010.jpg,https://ddw.nl/en/programme/10596/ikonic-playful-design,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Industrial Design
240,Illuminating landscapes,Developer klimaatonderlegger and Augmented Reality,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,The development from Augmented Reality as an enrichment for the carpet. In the Augmented Reality are system principles of the landscap visualized.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/landschapstegel-breuk-ar_1693560146_1800x1010.jpg,https://ddw.nl/en/programme/10897/illuminating-landscapes,,
241,Illuminating Landscapes,Developer of 3D animations and interactive Augmented Reality,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"The mission of eVRgreen Studio is rooted in a green future. With our serious games, we playfully encourage people to live more sustainably. Thanks to immersive technologies such as Virtual and Augmented Reality, we visualize the changes of our earth.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/maashorstar-ddw_1693577267_1800x1010.jpg,https://ddw.nl/en/programme/10898/illuminating-landscapes,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""INDEPENDENT & CRITICAL DESIGN""]",Experience Design
242,Illuminating landscapes,Programmer & Hardware engineer.,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,Young technical talent with masterful programmingskills. His unmatched passion for technology and profound exploration are at play. He developed de light/illuminating-tech for Illuminating Landscapes. When it comes to programming and animation he knows no bounds.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/hugo_1693563496_1800x1010.jpg,https://ddw.nl/en/programme/10899/illuminating-landscapes,,
243,Illuminating landscapes,landscape architect and developer klimaatonderlegger,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Assembling the dream team, drawing up the climate framework and coordinating all sub-tasks within the project.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/klimaat-onderlegger-detial_1694509320_1800x1010.jpg,https://ddw.nl/en/programme/10905/illuminating-landscapes,,
244,Illuminating Landscapes,The intertwining of languages,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Studio Liselot Cobelens and Bureau Streekk collaborated for the municipality of Maashorst on the development of a new, unifying language of landscapes. ""Illuminating Landscapes"" showcases the impact of climate change and the urgency of speaking a shared language.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/illuminating-landscapes-01_1693511699_1800x1010.jpg,https://ddw.nl/en/programme/9940/illuminating-landscapes,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""INDEPENDENT & CRITICAL DESIGN""]",Experience Design
245,IMPACT,"Remember - cherish - pause, in the now.","Station area, Fuutlaan 12c, Fuutlaan 12c",Free,"In a world where tomorrow is the driving force and time seems to be going faster, Range has given shape to an object that invites you to pause and reflect. An object that reminds you to cherish the moment and gives your memories a physical place in daily life. Remember - cherish - pause, in the now.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/impact-ruby-red-l-table-object-detail-02_1694086804_1800x1010.jpg,https://ddw.nl/en/programme/10932/impact,,
246,In search for relatable futures,Future Exhibition,"Strijp-S area, Area 51, Ketelhuisplein 18",Free,"Trend Research & Concept Creation in Lifestyle bachelor students are shaping relatable futures, challenging and redefining existing norms of society. Their projects offer youthful insights into our current era, aiming to inspire and guide understanding of unfolding changes and potential futures.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/microsoftteams-image-3_1695823222_1800x1010.png,https://ddw.nl/en/programme/10446/in-search-for-relatable-futures,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SPECULATIVE & SOCIAL DESIGN"", ""EDUCATION""]",Social Design
247,In Season,“The seasons are what a symphony ought to be: four perfect movements in harmony with each other.” – Arthur Rubinstein. But are we still “IN SEASON”?,"West area, studio mo man tai, Hastelweg 264A",Free,"This year we teamed up with Regina Fischer; an illustrator based in Berlin (Germany) to realise a sparkling, colourful exhibition in our studio that is 100% built from leftovers we collect during our production.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/inseasoninstallation-ddw23-upload1_1689867648_1800x1010.jpg,https://ddw.nl/en/programme/9777/in-season,"[""EXHIBITIONS"", ""INDEPENDENT & CRITICAL DESIGN""]",Art Design
248,In the Works,A collection of experiments from the workshop of Atelier Max Lipsey.,"Woensel area, De GRRRAGE, De Greefstraat 6",Free,"Atelier Max Lipsey is showing some furniture experiments, in various stages of completion, from his workshop in the collaborative space de GRRRage.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/200127-0018-web_1693378134_1800x1010.jpg,https://ddw.nl/en/programme/10458/in-the-works,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Interior Design
249,Inclusive Product Design,,"Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,The inclusive design glossary has the aim to reflect on one's own design work and to inspire other designers. The derived design approaches were applied in the design of an electric toothbrush.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/inclusive-design-fonfara_1694379102_1800x1010.jpg,https://ddw.nl/en/programme/11010/inclusive-product-design,,
250,Incubators @Fashion Tech Farm,"The Incubators are showcasing their work made during internship or incubation at the Fashion Tech Farm. Design, art and interaction on the body.","West area, Fashion Tech Farm, Zeelsterstraat 80",Free,"At the FTF the interns of 2023 are presenting their projects.

- Nine de Wit : A wearable Artificial womb
- Annika Maas : Cool Flow
And others.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/nine-waw_1690478862_1800x1010.jpg,https://ddw.nl/en/programme/9823/incubators-at-fashion-tech-farm,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SERVICE & INNOVATIVE DESIGN""]",Interaction Design
251,Innovationlabs,Impulse for new resilience in the cultural and creative sector,"Strijp-S area, Klokgebouw | Hall 3, Klokgebouw 50",Free with DDW Ticket,The Innovationlabs programme encourages the cultural and creative sector to develop applicable knowledge and new working methods to help this sector to be more agile and resilient in the longer term.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/innovatielabs-masthead-1600x900_1693384381_1800x1010.png,https://ddw.nl/en/programme/9775/innovationlabs,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Design Research
252,Intelligentie Ontleed,Waag Futurelab broadens your perspective on intelligence: what our artificial and natural intelligences are and why we need all of them.,"Strijp-S area, Ketelhuisplein, Ketelhuisplein",Free,"Step into the Futuredome and get amazed by intelligence. Whilst we are in the midst of an artificial intelligence revolution, Waag Futurelab's technology dissectors ask the question: how smart is AI really? Come and experience what other intelligences we need to collectively shape our future.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/andere-intelligentie-1920x1080_1693317044_1800x1010.jpeg,https://ddw.nl/en/programme/10176/intelligentie-ontleed,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
253,Inter Scope,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"Blinking, Shutters, Breaks, Beats, Breaths and Pauses.
Essential to the rhythmical nature of life.
They allow humans to process information in structures manners.
Inspired by early cinema the shutter in film-projectors.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/guido20230707-154421_1693951512_1800x1010.jpg,https://ddw.nl/en/programme/10964/inter-scope,,
254,interCHANGES expo,"How can we share and co-create knowdledge for, and by mission driven people at large?","Canal area, Fifth NRE, Gasfabriek 5",Free,An exhibition of the content and results of the interCHANGES sessions will be on display for visitors of Dutch Design Week throughout the nine days of Dutch Design Week 2023.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/interchanges-ddwnl-3_1693351200_1800x1010.jpg,https://ddw.nl/en/programme/10714/interchanges-expo,"[""EXHIBITIONS""]",Design Research
255,interCHANGES | DIGITAL FUTURE,This session is for everyone who explores and shapes the digital realms; from algorithms to big tech and from ai to the evolution of a conscious mind.,"Canal area, Fifth NRE, Gasfabriek 5",,"InterCHANGES is a series of interactive events for, and by mission-driven people. It offers ongoing opportunities to share & co-create knowledge, while nurturing a safe space for long lasting relationships. Together with whom it must concern we address challenges and strive for a better future.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/interchanges-ddwnl-1_1693349921_1800x1010.jpg,https://ddw.nl/en/programme/10741/interchanges-digital-future,"[""SEMINAR""]",Immersion & Mixed Reality Design
256,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,This session is for everyone interested in Designing for empathy as a value and power to improve quality of life and working towards an equal society.,"Canal area, Fifth NRE, Gasfabriek 5",,"InterCHANGES is a series of interactive events for, and by mission-driven people. It offers ongoing opportunities to share & co-create knowledge, while nurturing a safe space for long lasting relationships. Together with whom it must concern we address challenges and strive for a better future.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/45601062562-291ee3fe1a-k_1693572827_1800x1010.jpg,https://ddw.nl/en/programme/10716/interchanges-health-amp-wellbeing-x-equal-society,"[""SEMINAR""]",Social Design
257,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,"This session is for everyone interested in how we shape and create our cities, interiors, and offices, while empowering nature to heal and thrive.","Canal area, Fifth NRE, Gasfabriek 5",,"InterCHANGES is a series of interactive events for, and by mission-driven people. It offers ongoing opportunities to share & co-create knowledge, while nurturing a safe space for long lasting relationships. Together with whom it must concern we address challenges and strive for a better future.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/52455906876-c8562805c2-h_1695322718_1800x1010.jpg,https://ddw.nl/en/programme/10713/interchanges-living-environment-x-thriving-planet,"[""SEMINAR"", ""INDEPENDENT & CRITICAL DESIGN""]",Interior Design
258,Intercommunal Collaborations,The Pluriverse of Development,"Strijp-S area, The Cohesion LUX, Philitelaan 67",,"Intercommunal Collaborations is a critical tool facilitating reflection on Eurocentric values and assumptions that dominate the international development sector. It asks ""What if multiple world views co-exist?"" and challenges the user to redefine development and work from different value systems.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/untitled-design_1693484829_1800x1010.jpg,https://ddw.nl/en/programme/10416/intercommunal-collaborations,"[""WORKSHOP"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
259,Interieurvormgeving IV-OHO Thomas More (B),Interior design - Furniture design - Mechelen (B),"Centre area, Stads Bar & Food, Paradijslaan 48",Free,"The shown pieces of furniture are end- and yearprojects from the students of Thomas More Mechelen (Belgium) – Interiordesign OHO-IV – Open Higher Education Interior Design.
The furniture is made starting from a specific concept, individualy designed and realised by the students.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/emma-vandenhoeck-la-pierna_1693493361_1800x1010.jpg,https://ddw.nl/en/programme/10396/interieurvormgeving-iv-oho-thomas-more-b,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN""]",Interior Design
260,Internet Explorer,"By climbing a digital mountain, the internet user tries to find satisfaction in the digital realm.","Hallenweg area, De Fabriek, Baarsstraat 38",Free,"Graphic designer Jurre Latour invites you on a digital hike up the mountain. By joining his digital expedition, the question is whether it is possible to find a sort of satisfaction within the digital realm, comparable to a 'true experience'.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/jurrelatour-internetexplorer-ddw-2_1693410718_1800x1010.jpg,https://ddw.nl/en/programme/10079/internet-explorer,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""INDEPENDENT & CRITICAL DESIGN""]",Experience Design
261,Interwoven: LUCA meets LUCA,"For the first time, students from Luca School of Arts Ghent (textile design) and Genk (productdesign) come together and have their work intertwine.","Hallenweg area, De Fabriek, Baarsstraat 38",Free,Students from Luca School of Arts Ghent (textile design) and Genk (product design) meet for the first time during the Dutch Design Week in 'De Fabriek' in Eindhoven in a group exhibition where they intertwine their graduation projects where the objects play a central role.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/mad_1693473799_1800x1010.jpg,https://ddw.nl/en/programme/10383/interwoven-luca-meets-luca,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""INDEPENDENT & CRITICAL DESIGN"", ""EDUCATION""]",Design Research
262,It giet oan!,It giet oan! Designer Rosalie Apituley and Alliander invite you to look at energy in relation to the weather and wonder: will we skate on summer ice?,"Strijp-S area, Ketelhuisplein, Ketelhuisplein",Free,July 2030: The preparations for the ice season are in full swing. People degrease their ice skates collectively and keep close watch on the weather reports. Will there be enough sunshine this year? Will the energy peaks go through the roof again? Will there be an Eleven City Tour on summer ice?,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/lr-it-giet-oanbyrosalieapituley2023_1693518367_1800x1010.jpg,https://ddw.nl/en/programme/10173/it-giet-oan,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
263,J.3D.1: The Accessible and Modular 3D-weaving Loom,,"Station area, Technical University of Eindhoven - Atlas Building, Het Eeuwsel 53",Free,"A low-cost computing 3D weaving jacquard loom which empowers weavers across Europe by bridging traditional and currently easily accessible technology. It is a valuable tool for experimenting with sample-making, allowing expert and novice weavers to play with add-ons and new weaving techniques.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/weaving-birdseye_1693424263_1800x1010.JPG,https://ddw.nl/en/programme/9872/j3d1-the-accessible-and-modular-3d-weaving-loom,"[""EXHIBITIONS"", ""PRODUCT & CRAFT DESIGN""]",Design Research
264,JOB’S PLAYGROUND,"An atelier filled with stories, models, prototypes, products and objects.","Sectie-C area, Hall 4 - J, Daalakkersweg 4-30",,"An atelier filled with stories, models, prototypes, products and objects. In this organized chaos Job van den Berg will present a combination of new and old projects. These projects are variating form industrial manufactured products and hand crafted furniture till one of a kind art pieces.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/o-series-samples-job-van-den-berg-2022_1693397846_1800x1010.jpg,https://ddw.nl/en/programme/9910/jobs-playground,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Design Research
265,Joy of Work,"Social label
Designing labor as a statement for a different view of work and appreciation for all.","Station area, Fuutlaan 12c, Fuutlaan 12c",Free,"Initiators Petra Janssen (studio Boot) and Simone Kramer (C-mone) are building a meaningful design collection & community ism care, education and reintegration. Social label celebrates people playing, cultivates an empathetic society for an economy that leaves no one stands.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-2023-web_1694183682_1800x1010.jpg,https://ddw.nl/en/programme/10126/joy-of-work,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
266,Julian Assange - Actors of a Persecution,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"The end of free journalism? That Chinese publishers are being prosecuted, we know. But that an Australian publisher is being prosecuted for disclosing war crimes is new. Julian Assange is the first example of this. The International Organisation of Journalists calls this: The end of free journalism",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/assange-klein_1694626204_1800x1010.jpg,https://ddw.nl/en/programme/11045/julian-assange-actors-of-a-persecution,,
267,Just One Brick,Yi Design - Recycling Ceramic Wastes into Beautiful Objects,"Strijp-S area, Klokgebouw | Hall 1, Klokgebouw 50",Free with DDW Ticket,"Yi Design will showcase circular recycled products for the interior and architecture industry, transforming industrial ceramic waste into a beautiful multi-purpose, decorative, structural, and customizable tiles and bricks, art and product design at the Dutch Design Week.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/yibrick_1693458069_1800x1010.jpg,https://ddw.nl/en/programme/9740/just-one-brick,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SERVICE & INNOVATIVE DESIGN""]",Interior Design
268,Kadesino,"A moment to come together in dance and play. An exciting experience where you play for alluring samples, intriguing try-outs, and exclusive prototypes","Canal area, Kade Clubhuis, Kanaaldijknoord 57 C",,"During a week filled with design and limited leisure, we create the opportunity for a meaningful gathering and an evening overflowing with enjoyment. We transform the Kade Clubhuis into a distinctive casino, complete with a dance floor and bar. Numerous design prizes await, accompanied by music.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/middel-1_1692181201_1800x1010.png,https://ddw.nl/en/programme/10151/kadesino,"[""NETWORK EVENT"", ""OUR EQUAL SOCIETY"", ""SERVICE & INNOVATIVE DESIGN""]",Social Design
269,Kannonenvoer22 / FODDER22,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"We All Have to Die - Fashion Remix of opportunistic capitalist imperialism. refugees, preferred citizens, propaganda, misinformation and society.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/best-kleinn_1694265348_1800x1010.jpg,https://ddw.nl/en/programme/10996/kannonenvoer22-fodder22,,
270,KD26–A,Wearable typography,"Woensel area, Kelderman en van Noort (KEVN), Galileistraat 2",Free,"KD26–A is a contemporary kimono, designed by KD26. The design studio will create 26 wearable artworks, integrating the letters A to Z. Along with its accompanying publication, KD26–A is exhibited at Kelderman en van Noort, where a second, unique version is crafted on-site.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-kd26a_1693488825_1800x1010.jpg,https://ddw.nl/en/programme/10111/kd26a,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Art Design
271,Keigave Kleine Kunst Kamers,Architecture for kids aged 6 to 100,"Woensel area, Kelderman en van Noort (KEVN), Galileistraat 2",,"Come join us making models during the DDW. In this workshop we make space using stairs, walls and patterns. As a start of the design process, we use paintings by Rudi van de Wint: painter, sculptor and builder. All designs will be part of a dune landscape: a large sand table full with architecture.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-architectuurlessen-keigave-kleine-kunst-kamers-2440x1600_1694786249_1800x1010.jpg,https://ddw.nl/en/programme/10508/keigave-kleine-kunst-kamers,"[""WORKSHOP"", ""OUR EQUAL SOCIETY"", ""PRODUCT & CRAFT DESIGN""]",Process Design
272,Kiwi - Ending painful sex,An exploration of pelvic health.,"Strijp-S area, Klokgebouw | Hall 3, Klokgebouw 50",Free with DDW Ticket,"Pain during sex is far too common. The Pelvic People and designer Nienke Helder take a science-backed deep dive into entry pain. They showcase their unique research and design process, resulting in Kiwi: an innovative solution that makes progress feel good. Like, really good.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/kiwi-ohnut-2023_1694420540_1800x1010.jpg,https://ddw.nl/en/programme/10096/kiwi-ending-painful-sex,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN""]",Social Design
273,Klei oogst,Clay harvest,"Sectie-C area, Hall 16 - C, Daalakkersweg 16",,"Klei oogst' is a hands-on workshop that provides the experience of transforming Dutch clay soil into ceramics, at a local location. Our unique cargo bike workshop is designed to offer this immersive experience. This project connects the place, the material, and the maker.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/klei-oogst-picture-1_1693514908_1800x1010.jpg,https://ddw.nl/en/programme/10708/klei-oogst,,
274,KNITS 'N PIECES,,"Station area, Design Perron, Fuutlaan 12",Free,"Through knitted module designs this project explores multifunctional forms for multi-use. Holes and tubes in the knitted structure allows for drawstrings to be inserted into each module, for the possibility to assemble between the two states: for body or interior.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/josefinewilgren-swedishschooloftextiles-02_1693472813_1800x1010.jpg,https://ddw.nl/en/programme/10784/knits-n-pieces,,
275,Komorebi,The Japanese word Komorebi stands for the magic of sunlight shining through the trees and is also an inspiration for JSPR.,"Station area, JSPR, Fuutlaan 14c",Free,"Inspired by the Japanese word Komorebi, that stands for the magic of sunbeams dancing through the trees, we hope to inspire you with our creative lighting designs that combine functionality with aesthetics.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/jspr-komorebi-logo_1693494195_1800x1010.jpg,https://ddw.nl/en/programme/10364/komorebi,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Industrial Design
276,Koraal | een jubileumset,30 years Mariëtte Wolbert Textiles | an anniversary edition,"Sectie-C area, Atelier Houtwerff, Daalakkersweg 4-26",Free with DDW Ticket,"During the DDW, Mariëtte Wolbert wants to show her own label in quirky kitchen textiles that she has started since 2014. In addition, special attention is paid to her anniversary set Koraal because of her 30 years of designing kitchen textiles.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/wolbert-koraalset-met-knoppen-liggend_1693379802_1800x1010.jpeg,https://ddw.nl/en/programme/10087/koraal-een-jubileumset,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN"", ""GROUP EXHIBITION""]",Industrial Design
